Name,Year,Month,Total,Average,Maximum,Longitude,Latitude,Elevation,Month_help
Altdorf,1980,March,2,0.0645161290322581,2,8.62188326940885,46.8870781335011,438,9
Altdorf,1980,April,5,0.166666666666667,3,8.62188326940885,46.8870781335011,438,10
Altdorf,1980,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1980,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1980,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1980,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1980,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1980,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1980,November,22,0.5,5,8.62188326940885,46.8870781335011,438,5
Altdorf,1980,December,51,8.25806451612903,30,8.62188326940885,46.8870781335011,438,6
Altdorf,1981,January,93,9.83870967741935,43,8.62188326940885,46.8870781335011,438,7
Altdorf,1981,February,10,6.07142857142857,16,8.62188326940885,46.8870781335011,438,8
Altdorf,1981,March,2,0.0645161290322581,1,8.62188326940885,46.8870781335011,438,9
Altdorf,1981,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1981,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1981,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1981,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1981,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1981,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1981,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1981,November,9,0.2,6,8.62188326940885,46.8870781335011,438,5
Altdorf,1981,December,38,4.12903225806452,15,8.62188326940885,46.8870781335011,438,6
Altdorf,1982,January,17,1.09677419354839,8,8.62188326940885,46.8870781335011,438,7
Altdorf,1982,February,22,1.64285714285714,15,8.62188326940885,46.8870781335011,438,8
Altdorf,1982,March,7,0.290322580645161,3,8.62188326940885,46.8870781335011,438,9
Altdorf,1982,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1982,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1982,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1982,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1982,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1982,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1982,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1982,November,3,0.1,2,8.62188326940885,46.8870781335011,438,5
Altdorf,1982,December,13,0.645161290322581,7,8.62188326940885,46.8870781335011,438,6
Altdorf,1983,January,12,1.03225806451613,8,8.62188326940885,46.8870781335011,438,7
Altdorf,1983,February,34,8.75,18,8.62188326940885,46.8870781335011,438,8
Altdorf,1983,March,2,0.0645161290322581,2,8.62188326940885,46.8870781335011,438,9
Altdorf,1983,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1983,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1983,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1983,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1983,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1983,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1983,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1983,November,2,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1983,December,4,0.290322580645161,3,8.62188326940885,46.8870781335011,438,6
Altdorf,1984,January,30,1.48387096774194,10,8.62188326940885,46.8870781335011,438,7
Altdorf,1984,February,23,3.72413793103448,13,8.62188326940885,46.8870781335011,438,8
Altdorf,1984,March,12,0.483870967741936,8,8.62188326940885,46.8870781335011,438,9
Altdorf,1984,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1984,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1984,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1984,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1984,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1984,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1984,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1984,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1984,December,2,0.0645161290322581,2,8.62188326940885,46.8870781335011,438,6
Altdorf,1985,January,51,12.9354838709677,29,8.62188326940885,46.8870781335011,438,7
Altdorf,1985,February,73,12.8214285714286,40,8.62188326940885,46.8870781335011,438,8
Altdorf,1985,March,12,1.06451612903226,9,8.62188326940885,46.8870781335011,438,9
Altdorf,1985,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1985,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1985,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1985,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1985,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1985,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1985,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1985,November,23,1.16666666666667,12,8.62188326940885,46.8870781335011,438,5
Altdorf,1985,December,0,0,0,8.62188326940885,46.8870781335011,438,6
Altdorf,1986,January,21,1.29032258064516,10,8.62188326940885,46.8870781335011,438,7
Altdorf,1986,February,45,6,40,8.62188326940885,46.8870781335011,438,8
Altdorf,1986,March,6,2.19354838709677,20,8.62188326940885,46.8870781335011,438,9
Altdorf,1986,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1986,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1986,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1986,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1986,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1986,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1986,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1986,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1986,December,77,9.25806451612903,45,8.62188326940885,46.8870781335011,438,6
Altdorf,1987,January,63,16.1935483870968,32,8.62188326940885,46.8870781335011,438,7
Altdorf,1987,February,5,8.89285714285714,28,8.62188326940885,46.8870781335011,438,8
Altdorf,1987,March,28,1.7741935483871,15,8.62188326940885,46.8870781335011,438,9
Altdorf,1987,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1987,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1987,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1987,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1987,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1987,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1987,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1987,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1987,December,1,0.0645161290322581,1,8.62188326940885,46.8870781335011,438,6
Altdorf,1988,January,1,0,0,8.62188326940885,46.8870781335011,438,7
Altdorf,1988,February,37,2.10344827586207,15,8.62188326940885,46.8870781335011,438,8
Altdorf,1988,March,23,3.25806451612903,17,8.62188326940885,46.8870781335011,438,9
Altdorf,1988,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1988,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1988,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1988,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1988,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1988,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1988,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1988,November,7,0.833333333333333,6,8.62188326940885,46.8870781335011,438,5
Altdorf,1988,December,11,0.709677419354839,10,8.62188326940885,46.8870781335011,438,6
Altdorf,1989,January,0,0,0,8.62188326940885,46.8870781335011,438,7
Altdorf,1989,February,0,0,0,8.62188326940885,46.8870781335011,438,8
Altdorf,1989,March,0,0,0,8.62188326940885,46.8870781335011,438,9
Altdorf,1989,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1989,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1989,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1989,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1989,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1989,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1989,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1989,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1989,December,0,0,0,8.62188326940885,46.8870781335011,438,6
Altdorf,1990,January,0,0,0,8.62188326940885,46.8870781335011,438,7
Altdorf,1990,February,4,0.142857142857143,4,8.62188326940885,46.8870781335011,438,8
Altdorf,1990,March,2,0.129032258064516,2,8.62188326940885,46.8870781335011,438,9
Altdorf,1990,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1990,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1990,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1990,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1990,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1990,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1990,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1990,November,37,2.8,35,8.62188326940885,46.8870781335011,438,5
Altdorf,1990,December,53,13.7096774193548,30,8.62188326940885,46.8870781335011,438,6
Altdorf,1991,January,0,0,0,8.62188326940885,46.8870781335011,438,7
Altdorf,1991,February,17,2.03571428571429,14,8.62188326940885,46.8870781335011,438,8
Altdorf,1991,March,0,0,0,8.62188326940885,46.8870781335011,438,9
Altdorf,1991,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1991,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1991,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1991,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1991,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1991,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1991,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1991,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1991,December,1,0.032258064516129,1,8.62188326940885,46.8870781335011,438,6
Altdorf,1992,January,6,0.709677419354839,5,8.62188326940885,46.8870781335011,438,7
Altdorf,1992,February,12,0.724137931034483,9,8.62188326940885,46.8870781335011,438,8
Altdorf,1992,March,0,0,0,8.62188326940885,46.8870781335011,438,9
Altdorf,1992,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1992,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1992,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1992,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1992,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1992,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1992,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1992,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1992,December,0,0,0,8.62188326940885,46.8870781335011,438,6
Altdorf,1993,January,6,0.32258064516129,4,8.62188326940885,46.8870781335011,438,7
Altdorf,1993,February,12,1.42857142857143,10,8.62188326940885,46.8870781335011,438,8
Altdorf,1993,March,6,0.32258064516129,2,8.62188326940885,46.8870781335011,438,9
Altdorf,1993,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1993,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1993,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1993,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1993,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1993,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1993,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1993,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1993,December,7,0.548387096774194,3,8.62188326940885,46.8870781335011,438,6
Altdorf,1994,January,3,0.0967741935483871,3,8.62188326940885,46.8870781335011,438,7
Altdorf,1994,February,7,0.25,5,8.62188326940885,46.8870781335011,438,8
Altdorf,1994,March,0,0,0,8.62188326940885,46.8870781335011,438,9
Altdorf,1994,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1994,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1994,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1994,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1994,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1994,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1994,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1994,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1994,December,2,0.0645161290322581,1,8.62188326940885,46.8870781335011,438,6
Altdorf,1995,January,51,5.96774193548387,25,8.62188326940885,46.8870781335011,438,7
Altdorf,1995,February,1,0.0357142857142857,1,8.62188326940885,46.8870781335011,438,8
Altdorf,1995,March,13,0.419354838709677,5,8.62188326940885,46.8870781335011,438,9
Altdorf,1995,April,0,0.0333333333333333,1,8.62188326940885,46.8870781335011,438,10
Altdorf,1995,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1995,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1995,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1995,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1995,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1995,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1995,November,12,0.466666666666667,8,8.62188326940885,46.8870781335011,438,5
Altdorf,1995,December,31,1.7741935483871,23,8.62188326940885,46.8870781335011,438,6
Altdorf,1996,January,0,0.290322580645161,5,8.62188326940885,46.8870781335011,438,7
Altdorf,1996,February,20,1.24137931034483,8,8.62188326940885,46.8870781335011,438,8
Altdorf,1996,March,1,0.032258064516129,1,8.62188326940885,46.8870781335011,438,9
Altdorf,1996,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1996,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1996,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1996,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1996,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1996,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1996,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1996,November,16,0.7,7,8.62188326940885,46.8870781335011,438,5
Altdorf,1996,December,2,0.258064516129032,2,8.62188326940885,46.8870781335011,438,6
Altdorf,1997,January,3,0.129032258064516,1,8.62188326940885,46.8870781335011,438,7
Altdorf,1997,February,2,0.0714285714285714,2,8.62188326940885,46.8870781335011,438,8
Altdorf,1997,March,0,0,0,8.62188326940885,46.8870781335011,438,9
Altdorf,1997,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1997,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1997,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1997,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1997,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1997,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1997,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1997,November,0,0,0,8.62188326940885,46.8870781335011,438,5
Altdorf,1997,December,1,0.0645161290322581,1,8.62188326940885,46.8870781335011,438,6
Altdorf,1998,January,7,0.225806451612903,5,8.62188326940885,46.8870781335011,438,7
Altdorf,1998,February,0,0,0,8.62188326940885,46.8870781335011,438,8
Altdorf,1998,March,5,0.161290322580645,5,8.62188326940885,46.8870781335011,438,9
Altdorf,1998,April,0,0,0,8.62188326940885,46.8870781335011,438,10
Altdorf,1998,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1998,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1998,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1998,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1998,September,0,0,0,8.62188326940885,46.8870781335011,438,3
Altdorf,1998,October,0,0,0,8.62188326940885,46.8870781335011,438,4
Altdorf,1998,November,8,0.266666666666667,4,8.62188326940885,46.8870781335011,438,5
Altdorf,1998,December,21,1.51612903225806,10,8.62188326940885,46.8870781335011,438,6
Altdorf,1999,January,15,1,7,8.62188326940885,46.8870781335011,438,7
Altdorf,1999,February,65,11.25,31,8.62188326940885,46.8870781335011,438,8
Altdorf,1999,March,22,1.54838709677419,22,8.62188326940885,46.8870781335011,438,9
Altdorf,1999,April,23,1.26666666666667,18,8.62188326940885,46.8870781335011,438,10
Altdorf,1999,May,0,0,0,8.62188326940885,46.8870781335011,438,11
Altdorf,1999,June,0,0,0,8.62188326940885,46.8870781335011,438,12
Altdorf,1999,July,0,0,0,8.62188326940885,46.8870781335011,438,1
Altdorf,1999,August,0,0,0,8.62188326940885,46.8870781335011,438,2
Altdorf,1999,September,0,0,0,8.62188326940885,46.8870781335011,438,3
